seed,scenario_id,cand_total,conflict_pair_count,conflict_density,inter_block_conflicts,inter_block_conflict_density,occupancy_pressure,footprint_pressure,truncation_risk,classical_feasible,hybrid_feasible,overlap_violations_classical,overlap_violations_hybrid,density_violations_classical,density_violations_hybrid,runtime_classical_ms,runtime_hybrid_ms,difficulty,layout_fingerprint,group_size,seeds_in_group,representative_seed
101,scenario_9faa06b5cc,150,4741,0.42425,2941,0.26318,0.0574,0.1732,True,True,True,0,0,0,0,85.83,51805.78,easy,98e54f4963f3c760,1,101,101
111,scenario_cf13ac172d,150,4847,0.43374,3047,0.27266,0.0921,0.2415,True,True,True,0,0,0,0,50.09,52451.23,easy,9958669f400db670,1,111,111
202,scenario_e63c6c72b5,150,4519,0.40438,2719,0.24331,0.0548,0.1227,True,True,True,0,0,0,0,41.2,48269.73,easy,41aa2aed134b3a5d,1,202,202
222,scenario_9436e5d96f,150,6360,0.56913,4560,0.40805,0.0958,0.2222,True,False,False,15,1,0,0,51.11,66865.22,hard,4483eb5987772831,1,222,222
303,scenario_61e52a3337,150,5019,0.44913,3219,0.28805,0.0615,0.1471,True,True,True,0,0,0,0,45.94,54012.98,easy,06f34026e75ef1b9,1,303,303
333,scenario_a9a59ff0e2,150,4221,0.37772,2421,0.21664,0.0554,0.1754,True,True,True,0,0,0,0,44.41,45487.54,easy,e4b549a68fe22548,1,333,333
404,scenario_61b5ac0e11,150,5501,0.49226,3701,0.33119,0.0652,0.1235,True,True,True,0,0,0,0,46.99,58259.97,easy,56e7f3ec1bf6d966,1,404,404
515,scenario_83024f9fa1,150,4053,0.36268,2253,0.20161,0.0524,0.1754,True,True,True,0,0,0,0,39.3,43856.1,easy,23cd7e4325074ac8,1,515,515
606,scenario_b64fe5241f,150,4797,0.42926,2997,0.26819,0.0888,0.1925,True,True,True,0,0,0,0,39.76,52409.43,easy,15e2da14f82f4a42,1,606,606
717,scenario_a5ee4777c8,150,4197,0.37557,2397,0.2145,0.0571,0.3114,True,True,True,0,0,0,0,79.47,44960.37,easy,7dea2e3d973d6704,1,717,717
828,scenario_b1685b2377,150,4125,0.36913,2325,0.20805,0.0636,0.25,True,True,True,0,0,0,0,38.22,44248.61,easy,cd8d7adc61c0a244,1,828,828
939,scenario_fc04bf089a,150,5057,0.45253,3257,0.29145,0.0694,0.2092,True,True,False,0,1,0,0,43.75,54183.23,moderate,d7134b1124f5d858,1,939,939
1049,scenario_939b8a630a,150,4727,0.423,2927,0.26192,0.0483,0.1684,True,True,True,0,0,0,0,40.75,50480.75,easy,b8855c7809c60650,1,1049,1049
1159,scenario_a0184a2801,150,4706,0.42112,2906,0.26004,0.0526,0.225,True,True,True,0,0,0,0,39.9,50650.38,easy,2d62034c75ff84e9,1,1159,1159
1269,scenario_e29cc7746e,150,5202,0.4655,3402,0.30443,0.0626,0.2167,True,True,True,0,0,0,0,45.88,55977.66,easy,5785f62e86c4170d,1,1269,1269
1379,scenario_2aba796a9d,150,5581,0.49942,3781,0.33834,0.0575,0.2216,True,True,False,0,3,0,0,48.23,59186.03,moderate,81e8e5d5db26d2f5,1,1379,1379
1489,scenario_b7dae3b5fb,150,6468,0.57879,4668,0.41772,0.0943,0.179,True,True,False,0,1,0,0,55.55,68724.66,moderate,f2b3310cd6a02636,1,1489,1489
1599,scenario_6c15f80f0a,150,6759,0.60483,4959,0.44376,0.0909,0.2017,True,True,False,0,1,0,0,208.86,71496.11,moderate,6538f7dbade4be84,1,1599,1599
1709,scenario_32ebb1f03c,150,6158,0.55105,4358,0.38998,0.0832,0.2116,True,True,False,0,1,0,0,57.04,66978.88,moderate,c24395ef78e92314,1,1709,1709
1819,scenario_0d6f8229db,150,4833,0.43248,3033,0.27141,0.0701,0.25,True,True,True,0,0,0,0,62.92,52578.6,easy,835c21079f87f95d,1,1819,1819
1929,scenario_c0b2cf8e69,150,4582,0.41002,2782,0.24895,0.0574,0.1761,True,True,True,0,0,0,0,72.05,49312.55,easy,510899b93103c974,1,1929,1929
2039,scenario_43c7e4e09f,150,5469,0.4894,3669,0.32832,0.0505,0.1674,True,True,False,0,1,0,0,48.85,58112.91,moderate,100c8a808a39c4d0,1,2039,2039
2149,scenario_38cd152930,150,5235,0.46846,3435,0.30738,0.0565,0.1429,True,True,True,0,0,0,0,53.11,56692.11,easy,aa75e22350b8910e,1,2149,2149
2259,scenario_d174733625,150,5522,0.49414,3722,0.33306,0.0962,0.2046,True,True,False,0,2,0,0,55.86,58682.52,moderate,916f951f0d4a669e,1,2259,2259
